Age_BP,Temp_Delta
27.443,-5.0
27.526,-4.92
27.609,-4.92
27.693,-4.96
27.776,-5.01
27.859,-5.08
27.943,-5.18
28.026,-5.28
28.11,-5.45
28.193,-5.66
28.277,-5.86
28.36,-5.95
28.444,-5.96
28.528,-5.96
28.611,-5.93
28.695,-5.86
28.779,-5.78
28.862,-5.7
28.946,-5.62
29.03,-5.54
29.114,-5.43
29.197,-5.33
29.281,-5.27
29.364,-5.25
29.448,-5.27
29.532,-5.28
29.615,-5.32
29.699,-5.39
29.782,-5.45
29.866,-5.53
29.949,-5.59
30.032,-5.64
30.116,-5.68
30.199,-5.69
30.282,-5.69
30.365,-5.63
30.448,-5.52
30.531,-5.4
30.614,-5.3
30.697,-5.23
30.78,-5.16
30.862,-5.09
30.945,-5.03
31.027,-4.98
31.109,-4.94
31.191,-4.92
31.274,-4.94
31.356,-5.02
31.437,-5.1
31.519,-5.14
31.601,-5.17
31.682,-5.2
31.764,-5.24
31.845,-5.27
31.926,-5.28
32.007,-5.34
32.088,-5.36
32.168,-5.34
32.249,-5.37
32.329,-5.35
32.409,-5.29
32.489,-5.24
32.568,-5.19
32.647,-5.16
32.726,-5.08
32.805,-5.01
32.883,-4.98
32.962,-4.93
33.04,-4.83
33.117,-4.7
33.195,-4.56
33.272,-4.43
33.349,-4.32
33.426,-4.22
33.502,-4.16
33.579,-4.13
33.655,-4.09
33.732,-4.06
33.808,-4.04
33.884,-4.04
33.96,-4.05
34.036,-4.04
34.112,-4.06
34.189,-4.04
34.265,-4.03
34.341,-4.03
34.417,-3.99
34.493,-3.95
34.57,-3.96
34.646,-4.02
34.723,-4.16
34.799,-4.35
34.876,-4.54
34.953,-4.71
35.03,-4.84
35.107,-4.91
35.184,-4.96
35.262,-5.0
35.339,-4.98
35.417,-4.91
35.495,-4.87
35.573,-4.85
35.651,-4.79
35.729,-4.74
35.807,-4.71
35.886,-4.71
35.964,-4.73
36.043,-4.76
36.122,-4.78
36.201,-4.8
36.28,-4.76
36.359,-4.7
36.438,-4.65
36.517,-4.58
36.596,-4.53
36.675,-4.55
36.754,-4.6
36.834,-4.66
36.913,-4.72
36.992,-4.78
37.071,-4.85
37.151,-4.91
37.23,-4.92
37.309,-4.9
37.388,-4.89
37.468,-4.85
37.547,-4.77
37.626,-4.67
37.706,-4.61
37.785,-4.58
37.865,-4.51
37.944,-4.46
38.024,-4.4
38.103,-4.34
38.183,-4.34
38.262,-4.38
38.341,-4.41
38.421,-4.45
38.5,-4.52
38.579,-4.6
38.658,-4.67
38.737,-4.75
38.816,-4.84
38.894,-4.91
38.973,-4.93
39.051,-4.93
39.129,-4.92
39.207,-4.91
39.285,-4.87
39.363,-4.81
39.44,-4.69
39.518,-4.58
39.595,-4.54
39.672,-4.47
39.748,-4.37
39.825,-4.3
39.901,-4.19
39.978,-4.02
40.054,-3.91
40.129,-3.85
40.205,-3.79
40.281,-3.72
40.356,-3.67
40.432,-3.63
40.507,-3.61
40.582,-3.66
40.658,-3.72
40.733,-3.77
40.809,-3.79
40.884,-3.81
40.96,-3.86
41.036,-3.93
41.111,-4.03
41.188,-4.13
41.264,-4.12
41.34,-4.16
41.417,-4.25
41.494,-4.28
41.571,-4.29
41.648,-4.32
41.726,-4.31
41.804,-4.26
41.882,-4.25
41.961,-4.28
42.039,-4.3
42.118,-4.32
42.198,-4.39
42.278,-4.45
42.358,-4.53
42.438,-4.66
42.519,-4.81
42.6,-4.91
42.681,-4.98
42.763,-5.04
42.845,-5.08
42.927,-5.13
43.01,-5.18
43.093,-5.15
43.176,-5.05
43.26,-5.0
43.343,-4.99
43.427,-4.94
43.511,-4.96
43.596,-5.03
43.681,-5.1
43.765,-5.18
43.85,-5.26
43.935,-5.32
44.021,-5.35
44.106,-5.37
44.191,-5.37
44.277,-5.34
44.363,-5.28
44.448,-5.26
44.534,-5.26
44.62,-5.21
44.705,-5.13
44.791,-5.07
44.876,-5.04
44.962,-5.07
45.047,-5.12
45.132,-5.09
45.217,-5.06
45.302,-5.0
45.387,-4.87
45.471,-4.74
45.555,-4.69
45.64,-4.64
45.724,-4.58
45.807,-4.58
45.891,-4.58
45.974,-4.58
46.057,-4.61
46.14,-4.62
46.223,-4.65
46.305,-4.71
46.387,-4.74
46.469,-4.74
46.551,-4.73
46.632,-4.7
46.714,-4.63
46.795,-4.56
46.875,-4.51
46.956,-4.48
47.036,-4.49
47.117,-4.49
47.197,-4.5
47.276,-4.5
47.356,-4.45
47.435,-4.42
47.515,-4.44
47.594,-4.45
47.673,-4.43
47.751,-4.42
47.83,-4.41
47.908,-4.38
47.987,-4.33
48.065,-4.28
48.143,-4.25
48.221,-4.24
48.299,-4.22
48.377,-4.19
48.455,-4.18
48.533,-4.17
48.611,-4.12
48.688,-4.09
48.766,-4.05
48.844,-4.02
48.921,-4.09
48.999,-4.22
49.077,-4.31
49.155,-4.36
49.232,-4.34
49.31,-4.26
49.388,-4.16
49.466,-4.07
49.544,-4.01
49.623,-3.96
49.701,-3.96
49.78,-3.98
49.858,-4.0
49.937,-4.04
50.016,-4.08
50.096,-4.17
50.175,-4.26
50.254,-4.32
50.334,-4.4
50.414,-4.41
50.494,-4.37
50.574,-4.32
50.655,-4.21
50.735,-4.06
50.816,-4.01
50.897,-4.06
50.978,-4.14
51.059,-4.29
51.141,-4.43
51.222,-4.51
51.304,-4.53
51.386,-4.55
51.468,-4.58
51.55,-4.59
51.632,-4.58
51.715,-4.58
51.797,-4.52
51.88,-4.44
